sample_names,reads_retained_by_ustacks,mean_coverage
JF2,1472416,7.94
JF3,1237873,7.69
JF4,580831,7.29
JFF1,388828,7.45
RK10,3665565,14.24
RK11,8164821,29.51
RK12,6599887,23.90
RK13,13075804,48.35
RK14,5820686,21.70
RK15,6967473,25.48
RK16,3824757,15.03
RK17,1932062,9.32
RS11,1042206,9.74
RS32,1335411,8.34
RS33,1779896,9.09
UMA101,3044698,12.10
UMA10,3889412,14.86
UMA104,2700248,11.95
UMA1,1915388,8.75
UMA13,2104677,9.91
UMA14,7777582,28.34
UMA15,2651048,11.19
UMA16,3051578,12.90
UMA17,6580386,25.96
UMA18,4680099,18.18
UMA19,5791637,24.46
UMA20,6832000,25.29
UMA21,4236396,16.08
UMA2,4527350,17.20
UMA22,7445562,27.70
UMA23,7207816,26.82
UMA24,8871126,31.98
UMA25,6775115,29.03
UMA26,4273107,16.98
UMA3,4001238,15.44
UMA33,50174,6.80
UMA34,1943987,11.07
UMA35,3271116,13.17
UMA36,2599742,14.90
UMA37,2210255,12.01
UMA38,8433094,31.03
UMA39,4262544,16.80
UMA40,5045831,19.56
UMA41,7174928,26.32
UMA4,5742786,21.37
UMA42,4499229,17.47
UMA44,3311652,13.30
UMA45,3248226,13.14
UMA46,6136289,22.28
UMA47,3264503,12.90
UMA48,1429671,10.43
UMA49,1958155,10.43
UMA50,3217307,12.80
UMA51,4415039,17.16
UMA5,3202347,12.55
UMA52,3435874,13.82
UMA53,1879708,11.63
UMA55,7578484,27.91
UMA56,8198602,30.08
UMA57,4752460,18.29
UMA59,3101231,13.63
UMA60,2881356,12.86
UMA6,4836740,18.19
UMA62,9625532,34.94
UMA63,2473953,12.88
UMA64,6786913,25.45
UMA65,5273444,20.60
UMA66,3807030,14.59
UMA67,3601905,14.55
UMA68,5489400,20.59
UMA69,4832836,18.70
UMA70,4219294,17.23
UMA71,4763609,18.70
UMA7,1133635,7.34
UMA72,5308696,20.74
UMA73,6150731,22.87
UMA74,6511260,24.06
UMA76,4955924,19.58
UMA77,1817051,10.10
UMA78,7939323,29.73
UMA79,3293587,13.40
UMA80,3495558,14.13
UMA81,1076631,7.44
UMA8,4509969,17.69
UMA82,4629387,18.36
UMA9,3601794,14.87
